Group;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
Moderate;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Average;Average;Active;Active;Active;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;;
Moderate;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Disengaged;Disengaged;Disengaged
Moderate;Average;Average;Average;Average;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Average;Disengaged;Average;Average;Average;Average;Average;Average;Active
Moderate;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Average;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Moderate;Average;Average;Average;Average;Average;Average;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Disengaged;Disengaged;;
Moderate;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Average;Average;Average;Average;Active
Moderate;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Average;Average;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;;
Moderate;Average;Average;Average;Average;Average;Average;Average;Average;Disengaged;Disengaged;Average;Average;Average;Disengaged;Disengaged;Disengaged;Average;Average;Average;Disengaged;Disengaged;Average;Average;;
Moderate;Disengaged;Disengaged;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average
Moderate;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Disengaged
Low;Average;Average;Average;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Disengaged;Disengaged
Low;Disengaged;Average;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Average;Disengaged;Active;Active;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;;
Low;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Disengaged;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Disengaged;Average;Average;Active;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active
Low;Active;Active;Average;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Disengaged;Disengaged;Average
Low;Active;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Disengaged;Disengaged;Disengaged
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Average;Average;Average;Disengaged;Disengaged
Low;Active;Active;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Disengaged;Disengaged;Disengaged;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;;
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Average;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;;
Low;Average;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Disengaged;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Disengaged;;
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Disengaged;Average;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Active;Active;Active
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Average;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average
Low;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average
Low;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Disengaged;Active;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged
Low;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Disengaged;Disengaged;Active;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average
Low;Disengaged;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Average;Active;Active;Active;Active;Active;Active;Active;Active;Average;Active
Low;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active;Average;Active;Active;Active;Active;Active;Active;Active;Active
Low;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Average;Active;Active;Active;Active;Active;Average;Active;Average
Low;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Active;Active;Average;Active;Average;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Average;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Average;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Active;Active;Active
Low;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged
Low;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Average;Average;Active;Average;Average;Active;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active
Low;Average;Disengaged;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Average
Low;Average;Average;Active;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Disengaged;Average;Active;Active;Disengaged;Disengaged;Average;Active;Active;Active
Low;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Disengaged;Average;Active;Active;Active;Active;Active;Average;Average;Average;Disengaged;Disengaged;Disengaged
Low;Disengaged;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active
Low;Active;Average;Active;Disengaged;Active;Active;Disengaged;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged
Low;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Average;Active;Active;Active;Average;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Average;Active;Disengaged;Disengaged;Disengaged;Disengaged
Low;Active;Active;Active;Disengaged;Disengaged;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged
Low;Disengaged;Average;Disengaged;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active
Low;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;
Low;Disengaged;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Average;Average;Active;Active;Active;Active;Active;Average;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active
Low;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Average
Low;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;
Low;Active;Active;Active;Active;Active;Active;Disengaged;Average;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;
Low;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Active;Active;
Low;Active;Active;Active;Active;Average;Average;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active
Low;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average
Low;Active;Active;Active;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Active;
Low;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;
Low;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active
Low;Disengaged;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active
Low;Disengaged;Disengaged;Average;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Active;Active;Active
Low;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Average;Average;Disengaged;Active;Active;Active;Average;Average;Active;Active;Active;Active;Active
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Active;Average;Average;Average;Active;Active;Average;Average;Active
Low;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Disengaged;Disengaged
Low;Average;Average;Active;Average;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active
Low;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;
Low;Disengaged;Active;Disengaged;Average;Active;Active;Active;Active;Average;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Disengaged;Disengaged;Average;
Low;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Active;Average;Average;Average;Disengaged;Disengaged;Average;Active;Active;Active;
Low;Disengaged;Disengaged;Average;Average;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Active;Average;Disengaged;Disengaged;Average;Average;Active;Disengaged;Disengaged
Low;Average;Active;Average;Average;Active;Active;Active;Active;Active;Average;Average;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active
Low;Average;Active;Active;Disengaged;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;;
Low;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;
Low;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Active
Low;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;;
Low;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;
Low;Active;Active;Active;Active;Average;Active;Active;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;;
Low;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Active;;
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active
Low;Disengaged;Active;Active;Disengaged;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Disengaged;Disengaged;Disengaged;Active;Active;Disengaged;Average;Average;Active;Active;Active;Active;Average;Active;Average;Average;Average;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;
Low;Average;Average;Disengaged;Disengaged;Active;Active;Average;Average;Active;Active;Active;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged
Low;Active;Active;Active;Active;Active;Active;Average;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Average
Low;Average;Average;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Average;Average;Average;Disengaged;Disengaged
Low;Active;Active;Active;Average;Average;Active;Active;Disengaged;Active;Average;Average;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average
Low;Active;Disengaged;Average;Average;Average;Active;Active;Active;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;;
Low;Active;Active;Active;Average;Active;Active;Active;Active;Average;Average;Average;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;;
Low;Active;Active;Active;Active;Active;Active;Active;Active;Average;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Average
Low;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Disengaged;Active;Average;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Average
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Average;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Average
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Average;Active;Average;Active;Active;Active;Active;Active;Active;
Low;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Average;Active;;
Low;Disengaged;Average;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average
Low;Disengaged;Active;Active;Active;Active;Active;Active;Active;Average;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Average
Low;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Disengaged;Disengaged;Average;Average;
Low;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Average;Active;;
Low;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Average
Low;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
